trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-93.05913432918837,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-178.1092051706147,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,10,-103.00585256354786,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-142.1793668643186,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-119.00560759935131,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-151.56145963991497,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-53.16280128692695,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,4,-23.37132910382642,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,5,-117.80984177276864,"{0: 23, 1: 0, 2: 3, 3: 2, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-93.66393764250193,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-18.005303169161735,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,6,-26.834406692925178,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-51.76667114782867,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,19,18.11343166277886,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,4.408339256911499,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-71.50669781906203,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,9,-31.121325705706553,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,11,29.8490656857381,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,14,19.462869810797446,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-16.758536849017,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",20,0,-2.9481322511818897,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",25,1,-1.6140797928300903,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 0}",1
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",20,16,8.822654681198948,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",25,13,13.913001161377782,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",30,20,15.269151462765176,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",20,10,23.16484428464524,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",20,7,19.280520071620614,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",30,8,-5.27753112505206,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",25,8,32.094483323522056,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",25,14,21.40239633188953,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
