trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",30,0,-88.78472362854504,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067554}",30,0,-96.79073630464887,"{0: 21, 1: 5, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485083}",20,0,-78.44359162573475,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523234}",20,14,-34.17503779045381,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.9512294245007142}",20,0,-109.81302915698532,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842489}",25,0,-115.53583765486881,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059485}",25,15,2.0796815479477244,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.9231163463866361}",20,0,-33.7662993368098,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712285}",20,0,-59.69215924184293,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.90483741803596}",25,0,-107.96352814491884,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965287}",35,0,-259.6453024461472,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 5}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171579}",20,0,-164.21325150991484,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205617}",20,0,-136.78079860243093,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988063}",25,0,-137.0012355723491,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250584}",20,0,-174.8389241124521,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662119}",35,0,-145.61371518788505,"{0: 20, 1: 6, 2: 7, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963843}",20,0,-80.37668219673684,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8352702114112727}",25,0,-132.2593233445105,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.826959133943363}",25,11,2.5445891664803555,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.8187307530779825}",20,15,-34.644740584559514,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.8105842459701877}",20,0,-19.936045829013125,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624792}",20,0,-58.249533628005764,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.7945336025033347}",20,0,-95.00097144664662,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.7866278610665541}",35,5,-83.86108926058249,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",1
