trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-174.87727677525152,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.42254793191468,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-69.6852235883147,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-69.38177278527952,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,14,-73.04949235164398,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.25869572302065,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-10.312358400279345,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.04457247365161,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.75731419699372,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.48641326031546,"{0: 11, 1: 5, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.04540682704547,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.05614805153371,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
